pass_name,field,required,response,count,denominator,percentage
pass_a,defect_visible,true,yes,50,60,83.333333
pass_a,defect_visible,true,partially,10,60,16.666667
pass_a,defect_visible,true,no,0,60,0.000000
pass_a,defect_visible,true,uncertain,0,60,0.000000
pass_a,corruption_obscures_diagnostic_detail,true,none,35,60,58.333333
pass_a,corruption_obscures_diagnostic_detail,true,mild,16,60,26.666667
pass_a,corruption_obscures_diagnostic_detail,true,strong,9,60,15.000000
pass_a,corruption_obscures_diagnostic_detail,true,uncertain,0,60,0.000000
pass_a,dataset_label_visually_plausible,true,yes,51,60,85.000000
pass_a,dataset_label_visually_plausible,true,no,1,60,1.666667
pass_a,dataset_label_visually_plausible,true,uncertain,8,60,13.333333
pass_a,visually_ambiguous_between_categories,true,yes,12,60,20.000000
pass_a,visually_ambiguous_between_categories,true,no,44,60,73.333333
pass_a,visually_ambiguous_between_categories,true,uncertain,4,60,6.666667
pass_a,possible_crop_or_background_problem,true,yes,14,60,23.333333
pass_a,possible_crop_or_background_problem,true,no,42,60,70.000000
pass_a,possible_crop_or_background_problem,true,uncertain,4,60,6.666667
pass_a,reviewer_notes,false,nonempty,30,60,50.000000
pass_a,reviewer_notes,false,empty,30,60,50.000000
pass_b,activation_primarily_inside_annotation,true,inside,27,60,45.000000
pass_b,activation_primarily_inside_annotation,true,partial,24,60,40.000000
pass_b,activation_primarily_inside_annotation,true,outside,9,60,15.000000
pass_b,activation_primarily_inside_annotation,true,diffuse,0,60,0.000000
pass_b,activation_primarily_inside_annotation,true,uncertain,0,60,0.000000
pass_b,activation_concentrated_on_degradation_artifact,true,yes,0,60,0.000000
pass_b,activation_concentrated_on_degradation_artifact,true,no,45,60,75.000000
pass_b,activation_concentrated_on_degradation_artifact,true,uncertain,15,60,25.000000
pass_b,pattern_consistent_across_cnn_seeds,true,yes,24,60,40.000000
pass_b,pattern_consistent_across_cnn_seeds,true,partly,30,60,50.000000
pass_b,pattern_consistent_across_cnn_seeds,true,no,6,60,10.000000
pass_b,pattern_consistent_across_cnn_seeds,true,uncertain,0,60,0.000000
pass_b,prediction_visually_understandable_after_reveal,true,yes,57,60,95.000000
pass_b,prediction_visually_understandable_after_reveal,true,no,0,60,0.000000
pass_b,prediction_visually_understandable_after_reveal,true,uncertain,3,60,5.000000
pass_b,reviewer_notes,false,nonempty,60,60,100.000000
pass_b,reviewer_notes,false,empty,0,60,0.000000
